HVMID,cn_name,pinyin_name,en_name,latin_name,Properties,Meridians,UsePart,Function,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,HERB_id,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id
HVM0520,川黄芩,CHUAN HUANG QIN,St Johnswortleaf Skullcap,Scutellaria hypericifolia,,,root,See Scutellaria baicalensis.,See Scutellaria baicalensis.,,,,,HERB000863,,2560.0,,
HVM0521,川槿皮,CHUAN JIN PI,Cortex Hibisci,,,,,,,,,Antipyretic Detoxicate Drugs,清热解毒药,HERB000864,SMHB00071,,71.0,
HVM0522,川菊,CHUAN JU,King Orange,Citrus nobilis,,,,,,,,,,HERB000865,,1223.0,,
HVM0523,川黎果,CHUAN LI GUO,Pashi Pear Fruit,Pyrus pashia,,,fruit,"To disperse food and transform accumulation, dispel stasis and relieve pain.","Meat-type food accumulation, indigestion, diarrhea, dysmenorrhea, postpartum blood stasis abdominal pain, hypertension.",,,,,HERB000866,,6112.0,,
HVM0524,川楝皮,CHUAN LIAN PI,Szechwan Chinaberry Bark,Melia toosendan,,,dried stem or root cortex,See Melia azedarach.,See Melia azedarach.,,,,,HERB000867,,2944.0,,
HVM0525,川楝子,CHUAN LIAN ZI,Szechwan Chiberry Fruit,Fructus Meliae Toosendan,Cold; Bitter,Bladder; Stomach; Small Intestine; Liver,fruit,To relieve pain by smoothing the flow of the liver qi and to repel worms.,"Chest and rib-side pain, distending pain in stomach duct, mounting qi , abdominal pain due to worm accumulation.",Toxic,1. Its component toosendanin can expel ascarides from the intestine.2. Inhibiting the growth of some kind of fungi.,Qi Regulating Drugs,理气药,HERB000868,SMHB00072,2502.0,72.0,110.0
HVM0526,穿龙薯蓣,CHUAN LONG SHU YU,Nippon Yam Equivalent plant: Dioscorea nipponica ssp rosthornii,Dioscorea nipponica,,,rhizome,"To dispel wind and eliminate damp, quicken blood and relieve pain, relieve cough and dispel phlegm.","Pain in joints, rheumatic endocarditis, sciatica, chronic bronchitis, chronic trachitis, wind-cold-damp impediment, indigestion, taxation detriment and sprain, malaria, swollen welling abscess.",,,,,HERB000869,,7467.0,,
HVM0527,川木通,CHUAN MU TONG,Armand Clematis Stem,Caulis Clematidis Armandii,,,,"To remove heat and induce diuresis, to stimulate menstrual discharge, and promote lactation.","Treatment of edema, stranguria oliguria, arthralgia, amenorrhea, lack of lactation.",,,Diuretic Dampness Excreting Drugs,利水渗湿药,HERB000870,SMHB00073,8009.0,73.0,916.0
HVM0528,川木香,CHUAN MU XIANG,Common Vladimiria,Vladimiria souliei [Syn. Jurinea souliei],,,root,To move qi and relieve pain.,"Distending pain in stomach duct, rumbling intestines and diarrhea, tenesmus, liver gallbladder pain.",,,Regulation of qi,理气,HERB000871,,5016.0,,917.0
HVM0529,川牛膝,CHUAN NIU XI,root of Medicil cyathula,Radix Cyathulae,Mild; Sweet; Sour; Bitter,Liver; Kidney,root,"To eliminate blood stasis and stimulate menstrual discharge, to allay arthralgia and ease the joint, and to relieve urinary disturbance.","Amenorrhea with concretion and conglomeration, retention of placenta, impediment pain in joints, hematuria, blood strangury, knocks and falls.",,,Blood Activating Stasis Removing Drugs,活血祛瘀药,HERB000872,SMHB00074,3068.0,74.0,111.0
HVM0530,穿破石,CHUAN PO SHI,root of Tricuspid cudrania,Radix Cudraniae,Cool; Slightly Bitter; Neutral,Liver; Heart,,"1. To remove blood stasis, alleviate pain, expel wind and dampness. For rheumatism and trauma. Recently , also for acute and chronic hepatitis, tumour of digestive tract, carcinoma of liver, pancreas and lung, etc .2. To relieve cough and eliminate sputum. For productive cough.","1. To remove blood stasis, alleviate pain, expel wind and dampness. For rheumatism and trauma. Recently , also for acute and chronic hepatitis, tumour of digestive tract, carcinoma of liver, pancreas and lung, etc .2. To relieve cough and eliminate sputum",,,,,HERB000873,,7116.0,,112.0
HVM0531,川山橙,CHUAN SHAN CHENG,Hemsley Melodinus,Melodinus hemsleyanus,,,root or fruit,"To fortify spleen, supplement blood, clear heat (root), free menstruation and promote lactation, stanch bleeding, resolve toxin (fruit).","Spleen-stomach vacuity, anemia and scant milk, mouth sore, tongue sores (root), menstrual disorder, galactostasis, bleeding from hemorrhoids, swelling toxin of welling abscess and sore, snake bite (fruit).",,,,,HERB000875,,8085.0,,
HVM0532,穿山甲,CHUAN SHAN JIA,Pangolin,Manis pentadactyla,Minor cold; Salty,Stomach; Liver,scale,"To quicken blood and dissipate stasis, free menstruation and milk, disperse welling abscess.","Amenorrhea due to blood stasis, concretion and conglomeration, wind-damp impediment pain, galactostasis, swollen welling abscess, scrofula.",,Raising the level of white blood cells.,Blood activation and stasis removal,活血化淤,HERB000876,,7733.0,,113.0
HVM0533,穿山龙,CHUAN SHAN LONG,Ningpo Yam Rhizome ,Rhizoma Dioscoreae Nipponicae,Minor cold; Bitter,Lung; Liver,,"1. To promote blood circulation and dredge the channels. 2. To expel wind and dampness. 3. To eliminate phlegm, and relieve cough and dyspnea. 4. To clear toxic materials and relieve swelling.","1. Its saponins are antitussives and expectorants.2. Its decoction can relax histamine- or acetylcholine-induced bronchial spasm in guinea-pigs.3. Decreasing cholesterol level, slowing heart rate and increasing coronary flow.4. Anti-allergic.",,"1. Its saponins are antitussives and expectorants.2. Its decoction can relax histamine- or acetylcholine-induced bronchial spasm in guinea-pigs.3. Decreasing cholesterol level, slowing heart rate and increasing coronary flow.4. Anti-allergic.",Wind-Dampnessdispelling And Heatclearing Medicinal,祛风湿清热药,HERB000877,SMHB00078,3154.0,78.0,114.0
HVM0534,川射干,CHUAN SHE GAN,Iridis Tectori Rhizoma,,,,,,,,,Antipyretic Detoxicate Drugs,清热解毒药,HERB000879,SMHB00075,,75.0,
HVM0535,川乌,CHUAN WU,root of Common Monkshood,Radix Aconiti,Hot; Pungent; Bitter,Spleen; Liver; Heart; Kidney,,To relieve rheumatic conditions and alleviate pain by warming the channels.,"Treatment of joint pain in rheumatic or rheumatoid arthritis, epigastric pain with cold sensation, or abdominal colic due to cold, also used as an analgesic in anaesthesis.",Slightly Toxic,,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,HERB000881,SMHB00076,3194.0,76.0,115.0
HVM0536,川西獐牙菜,CHUAN XI ZHANG YA CAI,Mussot Swertia,Swertia mussotii,,,whole herb,"To clear liver and disinhibit gallbladder, abate jaundice, disinhibit water and disperse edema.","Acute icterohepatitis, hepatitis, cholecystitis, edema.",,,,,HERB000883,,1229.0,,
HVM0537,穿心莲,CHUAN XIN LIAN,all-grass of Common Androgrphis,Herba andrographitis,Cold; Bitter,Lung; Large Intestine; Stomach; Small Intestine,dried aerial parts,1. To clear heat and release toxins; 2. To dry dampness,"Infection of upper respiratory tract, fever, wind-heat common cold, bacillary dysentery, diarrhea, tonsillitis, pneumonia, tuberculosis, lung heat cough, pulmonary welling abscess, postlithotripsy urinary tract infection, warm disease fever, pertussis, swelling pain in throat, damp-heat jaundice, strangury syndrome, erysipelas, sore and welling abscess, eczema, poisonous snake bite.",,"1. Bacteriostatic effect on Staphylococcus aureus, Pseudomonas aeruginosa and Proteus with 5%, 40% and 20% decoction respectively.2.Its decoction promotes white cell phagocytosis in vitro.3. Antipyretic: Andrographolide lowers vaccine-induced fever in rab",Antipyretic Detoxicate Drugs,清热解毒药,HERB000884,SMHB00079,5703.0,79.0,116.0
HVM0538,穿心莲叶,CHUAN XIN LIAN YE,Powder of green chiretta leaves,Folium Andrographitis,Cold; Bitter,Lung; Large Intestine; Stomach; Small Intestine,Androgrphis paniculata (Burm.f.)Nees,,,,,,,HERB000885,,5489.0,,117.0
HVM0539,船形乌头,CHUAN XING WU TOU,all-grass of Scaphoidhelmet monkshood,herba aconiti navicularis,Cool; Bitter,,Aconitum naviculare (Bruhl.)Stapf,,,Toxic,,,,HERB000886,,5611.0,,118.0
HVM0540,川芎,CHUAN XIONG,"Chuanxiong rhizome, Szechuan lovage root",Radix chuanxiong；Rhizoma Chuanxiong,Warm; Pungent,Liver; Cardiovascular; Gallbladder,rhizome,1. To invigorate blood and promote qi circulation; 2. To expel wind and stop pain,"Cerebral ischemia, postpartum pain, acute icterohepatitis, menstrual disorder, amenorrhea and dysmenorrhea, concretion and conglomeration, chest and rib-side stabbing pain, painful swelling from knocks and falls, headache, wind-damp impediment pain.",,"1. Its active component, tetramethylpyrazine, can dilate the coronary artery and increase the coronary flow.2. Its aqueous solution and alcoholic infusion can lower blood pressure.3. Its alkaloids, ferulic acid and cnidilide are antispasmodics.4. Inhibiti",Blood Activating Stasis Removing Drugs,活血祛瘀药,HERB000887,SMHB00077,5926.0,77.0,119.0
HVM0541,川续断,CHUAN XU DUAN,Himalayan Teasel Equivalent plant: Dipsacus japonicus,Dipsacus asperoides,Minor Warm; Pungent; Sweet; Bitter,Liver; Kidney,root,"To supplement liver and kidney, strengthen sinews and bones, joint bones, check flooding and spotting.","Limp aching lumbus and knees, wind-damp impediment pain, flooding and spotting, profuse menstruation, fetal bleeding, knocks and falls.",,,For tonifying weakness,补虚,HERB000888,,6885.0,,120.0
HVM0542,川藏香茶菜,CHUAN ZANG XIANG CHA CAI,Szechwan-Tibet Rabdosia,Isodon pharicus,,,,,,,,,,HERB000889,,5288.0,,
HVM0543,木防己,CHUI MU FANG JI,Drooping Snailseed,Cocculus pendulus,,,,,,,,,,HERB000891,,7851.0,,
HVM0544,垂盆草,CHUI PEN CAO,all - grass of Stringy stonecrop,Herba Sedi sarmentosi,Cool; Sweet; Slightly Sour; Neutral,Small Intestine; Liver; Heart; Gallbladder,,"To remove damp-heat, and to counteract toxicity.","1. Its amino acid protect the liver of rats and mice from CCl4 damage.2. Inhibiting the growth of Staphyloccus aureus, (a0 and (B) streptococcus and Shigella flexneri in vitro.",,"1. Its amino acid protect the liver of rats and mice from CCl4 damage.2. Inhibiting the growth of Staphyloccus aureus, (a0 and (B) streptococcus and Shigella flexneri in vitro.",Antipyretic Detoxicate Drugs,清热解毒药,HERB000892,SMHB00080,1923.0,80.0,121.0
HVM0545,垂珠算盘子,CHUI ZHU SUAN PAN ZI,Srilanka Glochidion,Glochidion zeylanicum,,,,,,,,,,HERB000895,,5247.0,,
HVM0546,椿白皮,CHUN BAI PI,Chinese Toon Root-bast,Toona sinensis,,,bark or root cortex,"To eliminate heat and dry damp, astringe intestines and stanch bleeding, kill worms.","Chronic dysentery, chronic diarrhea, intestinal wind bleeding, flooding and spotting, vaginal discharge, emission, white turbidity, gan accumulation, ascariasis, sore and lichen.",,,,,HERB000898,,7322.0,,
HVM0547,唇萼薄荷,CHUN E BO HE,Pennyroyal Mint,Mentha pulegium,,,,,,,,,,HERB000899,,7663.0,,
HVM0548,福寿草,CHUN FU SHOU CAO,Yellow Adonis,Adonis vernalis,,,,,,,,,,HERB000900,,4830.0,,
HVM0549,椿根皮,CHUN GEN PI,"Ailanthus bark, Tree of heaven bark",Cortex Toonae Sinensis,Cool; Bitter; Punkery,,Ailanthus altissima (Mill.) Swingle,"Treatment of morbid leukorrhea, diarrhea caused by damp-heat, chronic diarrhea, chronic dysentery, hematochezia, abnormal uterine bleeding.","Treatment of morbid leukorrhea, diarrhea caused by damp-heat, chronic diarrhea, chronic dysentery, hematochezia, abnormal uterine bleeding.",,,Heat clearence,清热,HERB000901,SMHB00081,7030.0,,122.0
HVM0550,椿皮,CHUN PI,"Ailanthus bark, Tree of heaven bark",Cortex Tooe Sinensis,Cold; Bitter; Punkery,Large Intestine; Liver,,To remove damp-heat and arrest discharges.,"Treatment of morbid leukorrhea, diarrhea caused by damp-heat, chronic diarrhea, chronic dysentery, hematochezia, abnormal uterine bleeding.",,,Heat-Clearing And Dampnessdrying Medicinal,清热燥湿药,HERB000903,SMHB00081,2300.0,81.0,123.0
HVM0551,刺柏,CI BAI,Taiwan Juniper,Juniperus formosana,,,root and root cortex or branch-leaf,"To clear heat and resolve toxin, dry damp and relieve itch.","Measles papules with ardent fever, eczema, lichen sore.",,,,,HERB000907,,3912.0,,
HVM0552,刺菜蓟,CI CAI JI,Cardoon,Cynara cardunculus,,,,,,,,,,HERB000909,,5353.0,,
HVM0553,茨菇,CI GU,Oldworld Arrowhead Corm,Sagittaria sagittifolia,,,corm,"To cool blood and quicken blood, relieve cough and free strangury, resolve toxin and dissipate binds.","Postpartum blood stasis, retention of placenta, strangury, cough with phlegm and blood.",,,,,HERB000912,,6024.0,,
HVM0554,刺瑰,CI GUI,Prickly Juniper,Juniperus oxycedrus,,,,,,,,,,HERB000913,,7542.0,,
HVM0555,刺果番荔枝,CI GUO FAN LI ZHI,Guanabana,Annona muricata,,,,,,,,,,HERB000914,,6669.0,,
HVM0556,刺果甘草,CI GUO GAN CAO,Pricklyfruit Licorice,Glycyrrhiza pallidiflora,,,fruit,To promote lactation.,Postpartum scant milk.,,,,,HERB000915,,7457.0,,
HVM0557,刺果松,CI GUO SONG,Bristlecone Pine,Pinus aristata,,,,,,,,,,HERB000916,,7199.0,,
HVM0558,刺花椒,CI HUA JIAO,Acanthoid Pricklyash,Zanthoxylum acanthopodium,,,root or fruit,"To warm center and dissipate cold, kill worms and relieve pain.","Cold pain in stomach duct and abdomen, wind-cold-damp impediment, knocks and falls, abdominal pain due to worm accumulation.",,,,,HERB000919,,2145.0,,
HVM0559,刺槐花,CI HUAI HUA,Black Locust Flower,Robinia pseudoacacia,,,flower,To stanch bleeding.,"Precipitate blood of large intestine, hemoptysis, flooding.",,,,,HERB000921,,1884.0,,
HVM0560,刺槐角,CI HUAI JIAO,,,,,,,,,,,,HERB000922,,3433.0,,
HVM0561,刺黄连,CI HUANG LIAN,Radix et Caulis Mahonae flavidae,,,,,,,,,,,HERB000923,,5501.0,,
HVM0562,刺蒺藜,CI JI LI,Puncturevine Caltrap,Tribulus terrestris,Warm; Bitter,Lung; Liver,fruit,"To dissipate wind and brighten eyes, precipitate qi and move blood.","Headache, itchy body, red eyes and eye screen, convulsion, fullness in chest, cough and counterflow, concretion and conglomeration, difficult lactation, welling abscess and flat abscess, scrofula.",,,For calming liver and containing wind,平肝息风,HERB000924,,7158.0,,124.0
HVM0563,刺壳花椒,CI KE HUA JIAO,Spinyfruit Pricklyash,Zanthoxylum echinocarpum,,,"root, root cortex or stem-leaf","To disperse food and assisting movement, move qi and relieve pain.","Spleen weakness and functional weakness, reduced food intake with abdominal distention, qi stagnation and pain in stomach duct.",,,,,HERB000926,,3561.0,,
HVM0564,刺梨,CI LI,Roxburgh Rose,Rosa roxburghii,,,fruit,"To fortify stomach, disperse food, check diarrhea.","Food accumulation distention and fullness, enteritis and diarrhea.",,,,,HERB000927,,2426.0,,
HVM0565,刺马前子,CI MA QIAN ZI,Aculeate Poisonnut,Strychnos aculeata,,,,,,,,,,HERB000928,,2026.0,,
HVM0566,刺芒柄花,CI MANG BING HUA,Restharrow,Ononis spinosa,,,,,,,,,,HERB000930,,2456.0,,
HVM0567,刺南蛇藤,CI NAN SHE TENG,Hookedspine Bittersweet,Celastrus flagellaris,,,"root, fruit or stem","To dispel wind and eliminate damp, quicken blood and relieve pain, resolve toxin and disperse swelling.","Wind-damp impediment pain, numbness in limbs, knocks and falls, amenorrhea, dysentery, welling abscess and flat abscess, poisonous snake bite.",,,,,HERB000931,,4432.0,,
HVM0568,刺楸树皮,CI QIU SHU PI,Septemlobate Kalopanax Bark,Kalopanax septemlobus,,,bark,"To dispel wind and eliminate damp, quicken blood and relieve pain, kill worms and relieve itch.","Wind-damp impediment pain, numbness in limbs, wind-fire toothache, knocks and falls, fracture, swelling of welling abscess, welling abscess and flat abscess with swelling sore, mouth sore, swelling hemorrhoids, sore and lichen.",,,,,HERB000932,,3776.0,,
HVM0569,刺人参,CI REN SHEN,Echinopanax elatus Nakai,,,,,,,,,,,HERB000933,,1326.0,,
HVM0570,刺三加,CI SAN JIA,Trifoliate Acanthopanax,Acanthopanax trifoliatus,,,root or root cortex,"To clear heat and resolve toxin, dispel wind and disinhibit damp, soothe sinews and quicken blood.","Common cold with fever, sore pharynx, headache, chest pain due to cough, pain in stomach duct, diarrhea and dysentery, pain in rib-side, jaundice, stone strangury, vaginal discharge, wind-damp impediment pain, aching in lumbus and legs, hypertonicity of sinews and bones, fracture due to knocks and falls, epidemic parotitis, mammary welling abscess, toxin swelling of sores, snake or insect bites.",,,,,HERB000934,,2995.0,,
HVM0571,磁石,CI SHI,Magnetite,Magnetitum,Cold; Salty,Liver; Heart; Kidney,,"Treatment of dizziness, blurring of vision, tinnitus, impairment of hearing, palpitation, insomnia, dyspnea due to diminished function of the kidney.","Treatment of dizziness, blurring of vision, tinnitus, impairment of hearing, palpitation, insomnia, dyspnea due to diminished function of the kidney.",,,Spirit calming,安神,HERB000935,,1483.0,,125.0
HVM0572,刺天茄,CI TIAN QIE,Khasi Nightshade Fruit,Solanum khasianum,,,fruit,"To expel wind and relieve pain, clear heat and resolve toxin.","Wind-damp pain, bleeding due to external injury, nervous headache, stomachache, toothache, mastitis, epidemic parotitis.",,,,,HERB000936,,6139.0,,
HVM0573,刺头复叶耳蕨,CI TOU FU YE ER JUE,,Arachniodes exilis,,,rhizome,"To clear heat and resolve toxin, close sores.","Dysentery, burns and scalds.",,,,,HERB000938,,2760.0,,
HVM0574,刺猬皮,CI WEI PI,Hedgedog Skin,Corium Erinacei Seu Hemiechianus,Mild; Bitter,Large Intestine; Stomach; Kidney,,"For stablizing period, controlling urine and reducing heavy blood-flow",,,,Astriction,收涩,HERB000939,,1724.0,,126.0
HVM0575,刺五加,CI WU JIA,Manypr ickle Acanthopana x,Acanthopanax senticosus [Syn. Eleutherococcus senticosus ],Warm; Pungent; Bitter,Liver; Kidney,root and rhizome,"To boost qi and fortify spleen, supplement kidney and quiet spirit, increase appetite.","Spleen-kidney yang vacuity, vacuity and hypodynamia, inappetence, aching in lumbus and knees, insomnia and frequent dreaming.",,1. Improving tolerance to fatigue.2. Increasing the body resistance against diseases.3. Anti-inflammatory.4. LD50 is 4.75g/kg in mice.,For dispelling wind-dampness,祛风湿,HERB000940,,8137.0,,127.0
HVM0576,刺五加片,CI WU JIA PI,Manyprickle Acanthopanax Root-bark,Acanthopanax senticosus [Syn. Eleutherococcus senticosus ],,,root cortex,See Acanthopanax gracilistylus.,See Acanthopanax gracilistylus .,,,,,HERB000941,,7144.0,,
HVM0577,刺五加叶,CI WU JIA YE,Manyprickle Acanthopanax Leaf,Acanthopanax senticosus [Syn. Eleutherococcus senticosus ],,,,,,,,,,HERB000942,,3100.0,,
HVM0578,十大功劳叶,CI YE SHI DA GONG LAO,Acanthus-leaved Mahonia,Mahonia acanthifolia,,,,,,,,,,HERB000944,SMHB00369,3582.0,,
HVM0579,葱,CONG,"Allium bulb, Wild scallion, Chinese green onion",Bulbus Allii Fistulosi,Warm; Pungent,Lung; Stomach,Allium fistulosum L.,For dispersing wind-coldness,,,,For relieving exterior syndrome,解表,HERB000948,SMHB00082,1283.0,,128.0
HVM0580,葱白,CONG BAI,"Allium bulb, Wild scallion, Chinese green onion",Bulbus Allii Fistulosi,Warm; Pungent,Lung; Stomach,fresh bulb,1. To release the exterior and cause sweating; 2. To disperse cold by invigorating yang-qi; 3. To alleviate toxins,"Wind-cold common cold, yin cold abdominal pain, inhibited urine and stool, dysentery, swelling pain of welling abscess and sore, abdominal pain due to worm accumulation.",,"1. Bacteriostatic. 2. Diaphroretic, diuretic and expectorant. Oral use of its volatile oil can stimulate the respiratory and urinary tract and sweat glands and increase their secretion. ",Pungent-Warm Exterior-Releasing Medicinal,辛温解表药,HERB000949,SMHB00082,1428.0,82.0,129.0
HVM0581,葱花,CONG HUA,Flos Allii fistulosi,,,,,,,,,,,HERB000950,,1222.0,,
HVM0582,丛粒藻,CONG LI ZAO,,Botryococcus braunii,,,,,,,,,,HERB000952,,2311.0,,
HVM0583,枞木,CONG MU,Japanese Aralia Equivalent plant: Aralia dasyphylla,Aralia chinensis,,,bast,"To dispel wind and eliminate damp, disinhibit water and harmonize center, quicken blood and resolve toxin.","Pain in joints due to rheumatalgia, aching in lumbus and legs, kidney vacuity and edema, diabetes mellitus, knocks and falls, fracture, pain in stomach duct, blood ejection, spontaneous external bleeding, malaria, lacquer sore, medullitis, deep pus ulcer.",,,,,HERB000953,,1442.0,,
HVM0584,葱实,CONG SHI,Semen Allii fistulosi,,,,,,,,,,,HERB000954,,7513.0,,
HVM0585,葱须,CONG XU,Radix Allii fistulosi,,,,,,,,,,,HERB000955,,6665.0,,
HVM0586,葱叶,CONG YE,Folium Allii fistulosi,,,,,,,,,,,HERB000956,,2971.0,,
HVM0587,葱汁,CONG ZHI,Caulis seu Herba Allii fistulosi,,,,,,,,,,,HERB000957,,5091.0,,
HVM0588,雪莲,CONG ZHU XUE LIAN,,Saussurea tridactyla var. maidugonla,,,,,,,,,,HERB000958,,7121.0,,
HVM0589,臭冷杉,COU LENG SHAN,Abies nephrolepis,,,,,,,,,,,HERB000959,,3541.0,,
HVM0590,醋,CU,Vinegar,Vinegar,Warm; Sour; Bitter,Stomach; Liver,,"To stanch bleeding and dissipate stasis, resolve toxin and kill worms.","Postpartum blood dizziness, concretion and conglomeration, jaundice, yellow sweating, blood ejection, spontaneous external bleeding, hematochezia, itching in genital region, swelling of welling abscess, welling abscess and flat abscess with swelling sore.",,,Blood activation and stasis removal,活血化淤,HERB000960,,4873.0,,130.0
HVM0591,粗柄铁线莲,CU BING TIE XIAN LIAN,Clematis crassipes,,,,,,,,,,,HERB000961,,1087.0,,
HVM0592,龙胆,CU CAO LONG DAN,Scabrous Gentian,Gentiana scabra var. buesgeri,,,,,,,,,,HERB000963,SMHB00251,4535.0,,
HVM0593,粗果唐松草,CU GUO TANG SONG CAO,Purple Meadowrue,Thalictrum dasycarpum,,,,,,,,,,HERB000967,,1871.0,,
HVM0594,粗果香茶菜,CU GUO XIANG CHA CAI,Roughfruit Rabdosia,Isodon lasiocarpa,,,,,,,,,,HERB000968,,4977.0,,
HVM0595,簇花獐牙菜,CU HUA ZHANG YA CAI,Fascicled Swertia,Swertia fasciculata,,,,,,,,,,HERB000969,,4135.0,,
HVM0596,粗茎秦艽,CU JING QIN JIAO,Thickstem Gentian,Gentiana crassicaulis,,,dried root,See Gentiana macrophylla.,See Gentiana macrophylla.,,,,,HERB000970,,1850.0,,
HVM0597,粗茎乌头,CU JING WU TOU,Thickstem Monkshood,Aconitum crassicaule,,,,,,,,,,HERB000971,,7945.0,,
HVM0598,醋柳果,CU LIU GUO,"Seabuckthorn Fruit Equivalent plant: Hippophae rhamnoides subsp sinensis , Hippophae rhamnoides subsp yunnanensis",Hippophae rhamnoides,,,fruit,"To relieve cough and transform phlegm, fortify stomach and disperse food, quicken blood and dissipate stasis.","Cough with profuse phlegm, pulmonary welling abscess, indigestion, food accumulati on abdominal pain, stomachache, enteritis, amenorrhea, stasis swelling from knocks and falls.",,,,,HERB000973,,4298.0,,918.0
HVM0599,粗毛甘草,CU MAO GAN CAO,Hirsute Licorice,Glycyrrhiza aspera,,,root and rhizome,See Glycyrrhiza uralensis .,See Glycyrrhiza uralensis.,,,,,HERB000974,,3549.0,,
HVM0600,粗毛鳞盖蕨,CU MAO LIN GAI JUE,Strigose Microlepia,Microlepia strigosa [Syn. Trichomanes strigosa ],,,whole herb,To clear heat and disinhibit damp.,"Enteritis, influenza.",,,,,HERB000976,,3892.0,,
HVM0601,粗毛南蛇藤,CU MAO NAN SHE TENG,Hirsute Bittersweet,Celastrus strigillosus,,,,,,,,,,HERB000977,,1384.0,,
HVM0602,粗毛栓菌,CU MAO SHU YU,Hirsute Yam,Dioscorea hirsuta,,,,,,,,,,HERB000979,,5152.0,,
HVM0603,粗毛淫羊藿,CU MAO YIN YANG HUO,Acuminatum Epimedium,Epimedium acuminatum,,,aerial parts,See Epimedium brevicornum .,See Epimedium brevicornum.,,,,,HERB000980,,5568.0,,
HVM0604,粗皮山核桃,CU PI SHAN HE TAO,Shagbark Hickory,Carya ovata,,,,,,,,,,HERB000981,,4533.0,,
HVM0605,醋酸地塞米松,CU SUAN DI SAI MI SONG,,Dexamethasoni Acetas,,,,,,,,,,HERB000988,,1503.0,,132.0
HVM0606,粗叶榕,CU YE RONG,Hispid Fig,Ficus simplicissima,,,root,"To fortify spleen and supplement lung, move qi and disinhibit damp, soothe sinews and quicken network vessels.","Spleen vacuity edema, reduced food intake with fatigue, tuberculosis with cough, vaginal discharge, night sweating, postpartum scant milk, wind-damp impediment pain, edema, cirrhosis with ascites, hepatitis, knocks and falls.",,,,,HERB000992,,4240.0,,
HVM0607,粗叶悬钩子,CU YE XUAN GOU ZI,Roughleaf Raspberry,Rubus alceaefolius,,,root and leaf,"To clear heat and disinhibit damp, stanch bleeding, dispel stasis.","Hepatitis, dysentery, enteritis, mastitis, stomatitis, march hematoglobinuria, bleeding due to external injury, liver spleen enlargement, knocks and falls, wind-damp bone pain.",,,,,HERB000993,,1142.0,,
HVM0608,粗壮龙胆,CU Z HUANG LONG DAN,Robust Gentian,Gentiana robusta,,,,,,,,,,HERB000998,,6087.0,,
HVM0609,粗壮金鸡纳,CU ZHUANG JIN JI NA,Robust Cinchona,Cinchona robusta,,,,,,,,,,HERB000999,,6798.0,,
HVM0610,粗壮咖啡,CU ZHUANG KA FEI,Robust Coffee,Coffea robusta,,,,,,,,,,HERB001000,,1690.0,,
HVM0611,粗壮女贞,CU ZHUANG NV ZHEN,Japanese Privet,Ligustrum robustum,,,leaf,"To dissipate wind-heat, clear head and eyes, allay vexation and thirst.","Headache, toothache, sore pharynx, lip sore, tinnitus, red eyes, hemoptysis, summerheat-heat and vexation and thirst.",,,,,HERB001001,,2543.0,,
HVM0612,粗壮酸藤子,CU ZHUANG SUAN TENG ZI,Robost Embelia,Embelia robusta,,,,,,,,,,HERB001002,,3624.0,,
HVM0613,灯芯柳珊瑚,CUI DENG XIN LIU SHAN HU,Gorgonian Junceella fragilis,Junceella fragilis,,,,,,,,,,HERB001004,,7217.0,,
HVM0614,催眠睡茄,CUI MIAN SHUI QIE,Somniferous Withania,Withania somnifera,,,,,,,,,,HERB001005,,5514.0,,
HVM0615,翠雀花,CUI QUE HUA,Bouquet Larkspur,Delphinium grandiflorum,,,whole herb or root,"To dispel wind-damp, relieve pain, kill worms and relieve itch.","Wind-heat toothache, wind-damp impediment pain, sore welling abscess and lichen lai.",,,,,HERB001006,,5108.0,,
HVM0616,催吐萝芙木,CUI TU LUO FU MU,,,,,,,,,,,,HERB001008,,6348.0,,
HVM0617,翠云草,CUI YUN CAO,Hooked Spikemoss,Selaginella uncinata,,,whole herb,"To clear heat and disinhibit damp, resolve toxin, stanch bleeding.","Jaundice, dysentery, diarrhea, edema, strangury, impediment pain in sinew and bone, blood ejection, coughing of blood, hematochezia, bleeding due to external injury, hemorrhoids and fistulas, burns and scalds, snake bite.",,,,,HERB001009,,3348.0,,
HVM0618,寸冬,CUN DONG,Root of Dwarf Lilyturf.,Radix Ophiopogonis,Minor cold; Sweet; Slightly Bitter,Lung; Stomach; Heart,Ophiopogon japonicus ( Thunb. Ker-Gawl.,"Treament of dry cough, phthisical cough, thirst due to impairment of body fluid, fidgetness and insomnia, diabetes caused by internal heat, constipation, diphtheria.",1. Relieving leucopenia in mice induced by cyclophosphamide and radiation sickness in dogs.2. Increasing anoxia tolerance in experimental animals under atmospheric pressure.3. Increasing coronary flow and improving myocardial contractility in guinea-pigs.4. Decreasing the level of blood sugar.,,1. Relieving leucopenia in mice induced by cyclophosphamide and radiation sickness in dogs.2. Increasing anoxia tolerance in experimental animals under atmospheric pressure.3. Increasing coronary flow and improving myocardial contractility in guinea-pigs.,For tonifying weakness,补虚,HERB001010,,3517.0,,133.0
HVM0619,大芭蕉,DA BA JIAO,Big Anisetree,Illicium majus,,,bark,See Illicium difengpi .,See Illicium difengpi .,,,,,HERB001012,,1541.0,,
