HVPID,name,Prescription Composition,Instructions,Treatment Symptoms,Source Document
HVP0456,川连枳壳汤,川黄连、枳壳、陈皮、甘草。,,"湿热痿软，身体重着，走注疼痛，首如裹，面壅肿，小便黄赤，手足发热，小筋弛长，脉沉而数，积热在里。[Damp heat flaccid soft, heavy body, walking injection pain, head such as wrapping, face swelling, urine yellow red, hand and foot fever, small muscle relaxation long, pulse sink and number, accumulation of heat in.(Machine translation.)]",《症因脉治》卷三。
HVP0457,泻心各半汤,川黄连、甘草、桑白皮、地骨皮。,,肺热腹胀，属心火刑金者。[Lung heat and abdominal distension belong to heart fire.(Machine translation.)],《症因脉治》卷三。
HVP0458,甘草麻桂汤,甘草、麻黄、桂枝。,,"寒湿腹胀，身重身冷无汗。[Cold dampness abdominal distension, body weight, body cold without sweat.(Machine translation.)]",《症因脉治》卷三。
HVP0459,太阳二妙丸,黄柏、独活。,,"湿热痿软之症。湿热在表，身体重着，走注疼痛，首如裹，面壅肿，小便黄赤，手足发热而脉见浮数者。[Damp heat and flaccidity. Damp heat on the surface, heavy body, walking pain, head like wrapping, face swelling, urine yellow red, hand and foot fever and pulse floating number.(Machine translation.)]",《症因脉治》卷三。
HVP0460,独活二妙丸,独活、黄柏。,,"外感湿热伤于太阳，筋挛，左脉洪数。[Exogenous dampness and heat damage to the sun, tendon contracture, left pulse flood number.(Machine translation.)]",《症因脉治》卷三。
HVP0461,戊己汤,白芍药、甘草、川黄连。,,"脾热，不能分清降浊，水液偏渗大肠，泄泻不止，水谷不分。腹中漉漉有声，或痛或不痛，小水全无，及脾热身肿者。[Spleen heat, can not distinguish turbidity, water partial infiltration of large intestine, diarrhea more than, regardless of water valley. If there is a sound in the abdomen, or pain or no pain, there is no small water, and the spleen warms up.(Machine translation.)]",《症因脉治》卷三。功效:清肝脾血分之火。
HVP0462,连理汤,人参、白术、干姜、炙甘草、黄连。,,"脾胃虚寒，湿热内蕴，寒热相搏，升降失常之呕吐酸水，顺逆，心痛，口糜，泄泻，腹胀者。[Spleen and stomach deficiency cold, dampness and heat, cold and heat phase beat, abnormal rise and fall of vomiting, acid water, Shun Ni, heartache, mouth chyme, diarrhea, abdominal distension.(Machine translation.)]",《症因脉治》卷二。
HVP0463,羌防泻白散,桑白皮、地骨皮、甘草、羌活、柴胡、葛根、防风。,,"寒伤肺、郁而变热所致咳嗽。[Cold injury lung, depression and heat caused by cough.(Machine translation.)]",《症因脉治》卷二。
HVP0464,人参平肺散,桑白皮（炒）7分，知母7分（炒），杏仁（去皮尖，炒）1钱，地骨皮1钱，紫苏1钱，橘红1钱，半夏（姜制）1钱，茯苓1钱，青皮1钱，人参1钱，五味子20粒（炒，杵），甘草（炙）5分。,,"心火克肺，痈疽喘急，恍惚嗜卧。[Xinhuoke lung, carbuncle asthma, trance addicted to lying.(Machine translation.)]",《痈疽验方》。
HVP0465,知母甘桔汤,知母、石膏、桔梗、甘草、地骨皮。,,"肺家受燥，咳嗽气逆，口渴身热，面赤唇焦，吐痰难出，二便赤涩，脉多数大，或见滑数。[The lung family suffers from dryness, cough, Qi inversion, thirst, body heat, red face, scorched lips, difficult to spit, red and astringent stool, large pulse, or slippery number.(Machine translation.)]",《症因脉治》卷二。
HVP0466,人参小柴胡汤,人参、柴胡、半夏、黄芩、陈皮、甘草。,,"胆胃内伤，表无外邪，但呕苦水，或白睛黄绿，或胁肋胀痛，长太息，属虚者。[Gallbladder and stomach internal injury, no external evil, but vomiting bitter water, or white eyes yellow green, or flank rib pain, long Taixi, belong to deficiency.(Machine translation.)]",《症因脉治》卷二。
HVP0467,石膏泻白散,石膏、知母、桑白皮、地骨皮、甘草。,,"燥火伤肺，咳嗽气喘。[Dry fire injures lung, cough and asthma.(Machine translation.)]",《症因脉治》卷二。
HVP0468,姜桂大顺散,干姜、肉桂、杏仁、甘草。,,"呕吐酸水，脉弦迟者。[Vomiting acid water, pulse string late.(Machine translation.)]",《症因脉治》卷二。
HVP0469,防风泻白散,防风、桑白皮、地骨皮、甘草。,,"哮病外有感冒，身发热者；或风寒喘咳，以风气为胜者。[Asthma outside the cold, body fever; Or the wind cold asthma cough, take the wind as the winner.(Machine translation.)]",《症因脉治》卷二。
HVP0470,加味戊己汤,白芍、甘草、黄柏、知母。,,"脾阴不足，土中之火刑金，而致内伤嗽血。[Due to the deficiency of Spleen Yin, the fire in the earth causes the internal injury and coughing blood.(Machine translation.)]",《症因脉治》卷二。
HVP0471,十味香薷饮,香薷、厚朴、白扁豆、陈皮、白茯苓、苍术、黄柏、升麻、葛根、桑白皮、地骨皮、甘草。,,"伤暑咳嗽，身痛口渴，外反恶寒。[Cough, body pain, thirst, external anti cold.(Machine translation.)]",《症因脉治》卷二。
HVP0472,荆防泻白散,荆芥、防风、桑白皮、地骨皮、甘草。,,"风热入肺，肺风痰喘，脉浮数者。[Wind heat into the lung, lung wind phlegm asthma, pulse floating number.(Machine translation.)]",《症因脉治》卷二。
HVP0473,石膏知母汤,石膏、知母、桔梗、桑白皮、地骨皮、甘草。,,"伤暑咳嗽，身热引饮，内热烦躁；或燥火身肿，有咳嗽者。[Cough due to heat injury, drinking due to body heat, and irritability due to internal heat; Or dry fire body swelling, cough.(Machine translation.)]",《症因脉治》卷二。
HVP0474,三因神秘汤,苏梗、桔梗、桑白皮、地骨皮、青皮、陈皮、木香、枳壳。,,"肺胀。喘不得卧，短息倚肩，抬身撷肚，肩背皆痛，痛引缺盆，脉寸口独大，或见浮数，或见浮紧。[Lung distension. The pain leads to the lack of basin, and the pulse Cunkou is only large, either floating number or floating tight.(Machine translation.)]",《症因脉治》卷二。
HVP0475,知柏戊己汤,知母、黄柏、甘草、白芍药。,,"脾阴不足，火冲眩晕，暴发倒仆，昏不知人，甚则遗尿不觉，少倾汗出而醒，仍如平人，右关细数。[Spleen yin deficiency, fire rush vertigo, the outbreak of fall, faint do not know people, even enuresis is not aware, less pouring sweat and wake up, still like a flat person, right close count.(Machine translation.)]",《症因脉治》卷二。
HVP0476,家秘神术汤,苍术、防风、石膏。,,"风热霍乱。头痛身热，上吐下泻，心腹绞痛，甚则转筋。[Wind fever, cholera. Headache, body heat, vomiting and diarrhea, angina pectoris, and even tendon.(Machine translation.)]",《症因脉治》卷四。
HVP0477,二母二陈汤,知母、贝母、半夏、白茯苓、陈皮、甘草。,,"外感燥痰证。发热唇焦，烦渴引饮，喘咳短息，时作时止，吐咯难出。[The syndrome of exogenous dryness phlegm. Fever, burning lips, thirst, shortness of breath, cough and vomiting.(Machine translation.)]",《症因脉治》卷二。功效:清热润燥，降火化痰。
HVP0478,参橘煎,人参、橘红。,,气虚喘逆。[Qi deficiency and dyspnea.(Machine translation.)],《症因脉治》卷二。功效:补气，顺气。
HVP0479,海石二陈汤,海石、半夏、陈皮、甘草、白茯苓。,,牡疟。[Paeonia suffruticosa.(Machine translation.)],《症因脉治》卷四。
HVP0480,姜附四君子汤,干姜、附子、人参、白术、茯苓、炙甘草。,,"寒气霍乱；半产，身热面赤，脉沉而细。[Cold air cholera; Half production, hot body, red face, deep and thin pulse.(Machine translation.)]",《症因脉治》卷四。
HVP0481,家秘川连枳壳汤,黄连、枳壳、木通、厚朴、甘草。,,湿热泻利。[Dampness and heat relieve diuresis.(Machine translation.)],《症因脉治》卷四。
HVP0482,枳壳青皮饮,枳壳、青皮、木通、苏梗。,,"气结腹痛，痛攻胁肋。[Qi stagnation abdominal pain, pain attack flank rib.(Machine translation.)]",《症因脉治》卷四。
HVP0483,大黄枳壳丸,大黄、枳壳、厚朴、陈皮、甘草、木通。,,"积热泄泻，发热口渴，肚腹皮热，时或疼痛，小便赤涩，泻下黄沫，肛门重滞，腹痛，欲便而不得便。[Heat accumulation, diarrhea, fever, thirst, abdominal skin heat, or pain, urine red astringent, diarrhea yellow foam, anal heavy stagnation, abdominal pain, want to defecate but not defecate.(Machine translation.)]",《症因脉治》卷四。
HVP0484,枳朴平胃散,枳实、厚朴、苍术、陈皮、甘草。,,"食气霍乱，病在中，胸前饱闷，胀痛嗳气，吐泻交作，呕出食物，泻下酸馊，脉滑大，或沉实。[Food gas cholera, disease in the chest full, pain belching, vomiting and diarrhea, vomiting food, diarrhea sour, smooth pulse, or heavy.(Machine translation.)]",《症因脉治》卷四。
HVP0485,二陈四七汤,茯苓、陈皮、甘草、苏梗、厚朴、制半夏。,,"气结痰凝腹痛，胸腹胀满，痛应心背，失气则痛减，气闭则痛甚，服破气之药稍减，服补气之药愈痛，脉沉者。[Qi stagnation, phlegm coagulation, abdominal pain, chest and abdomen fullness, pain should be on the heart and back, loss of Qi will reduce the pain, Qi closure will be very painful, take the medicine of breaking Qi to reduce slightly, take the medicine of Tonifying Qi to get more pain, pulse sinking.(Machine translation.)]",《症因脉治》卷四。
HVP0486,枳朴香砂汤,枳壳、厚朴、香附、砂仁。,,"气结腹痛，心腹胀者。[The patients with pneumoconiosis, abdominal pain and abdominal distention.(Machine translation.)]",《症因脉治》卷四。
HVP0487,人参车前汤,人参、车前子。,,"气虚小便不利。因膀胱气弱，不及州都，症见气怯神离，面色痿黄，言语轻微，里无热候，唇不焦，口不渴，欲便而不能，右尺脉细。[Qi deficiency is not good for urination. Because the bladder Qi is weak, not as good as zhoudu, the symptoms are: Qi is timid and spirit is separated, the complexion is flaccid and yellow, the speech is slight, there is no heat in the body, the lips are not burnt, the mouth is not thirsty, the desire to defecate is unable, and the right ulnar pulse is fine.(Machine translation.)]",《症因脉治》卷四。
HVP0488,车前木通汤,车前子3钱，木通2钱。,,"膀胱结热，小便不利。[Bladder heat, urination is not good.(Machine translation.)]",《症因脉治》卷四。
HVP0489,藿香参橘煎,人参、橘红、藿香。,,中暑泻之症，脉虚细。[The disease of heat stroke and diarrhea is characterized by weak pulse.(Machine translation.)],《症因脉治》卷四。功效:清理暑湿，分利阴阳。
HVP0490,地黄大补丸,龟版（酒炙）1两半，黄柏（酒炒）5钱，知母5钱（去皮，酒拌，捣膏），人参2两，生地黄1两半（酒拌，铜器蒸半日，捣膏）。,,"痈疽愈后作渴。[When the carbuncle is healed, the patient is thirsty.(Machine translation.)]",《痈疽神秘验方》。
HVP0491,牛蒡甘草汤,牛蒡子（麸炒）1两，甘草（炙）1钱。,,麻痘初作。[This is the first work of hemp pox.(Machine translation.)],《痘治理辨》卷下。
HVP0492,加减理中汤,人参、白术、黄耆、甘草、木香、肉桂、茯苓、半夏、陈皮。,,"小儿痘疹，吐泻里虚。不能出快。[Children's pox and rash, diarrhea and deficiency. You can't go fast.(Machine translation.)]",《痘疹一贯》卷二。
HVP0493,加减理中汤,白术1两，人参1两，甘草1两，干姜1两，青皮半两，陈皮半两。,,"脾胃不和，三焦壅滞，胸膈痞闷，胁肋胀痛，呕吐恶心，口淡无味，呼吸寒冷，心腹暴痛，饮酒过伤，全不思食。[Disharmony of spleen and stomach, stagnation of triple energizer, chest and diaphragm stuffiness, distending pain of flank and rib, vomiting and nausea, insipid and tasteless, cold breathing, abdominal pain, drinking too much, no food.(Machine translation.)]",《鸡峰》卷十二。功效:生养诸气，大益脾胃。
HVP0494,茱连散,黄连半两，吴茱萸2钱。,,"痘疹吐者。初发热，暴吐不止，此火气上逆也。[People with acne and vomiting. At the beginning of fever, more than sudden vomiting, the fire is also against.(Machine translation.)]",《痘疹世医心法》卷十一。
HVP0495,龙硼丹,硼砂5分，青黛5分，山豆根5分，冰片5厘。,,痘后咽喉肿痛。[Sore throat after acne.(Machine translation.)],《痘疹仁端录》卷七。
HVP0496,含元散,绿豆、赤豆、黑豆。,,No Data.[无数据],《痘疹仁端录》卷九。功效:定喘。
HVP0497,兔脑稀痘丹,川黄连5两，丝瓜子（连壳，炒）7钱，乳香3钱3分（炙过），朱砂5钱5分，甘草2钱。,,稀痘。[Thin pox.(Machine translation.)],《痘疹仁端录》卷十三。
HVP0498,恒田退斑汤,石膏5钱，青黛5钱，红花5钱。,,痘后发斑。[Spot after acne.(Machine translation.)],《痘疹仁端录》卷十三。
HVP0499,清解饮,升麻、葛根、前胡、防风、羌活、白芷、桔梗、连翘、牛蒡子、木通、青皮、山楂、红花、地肤子。,,"痘见点3-4日，行浆前后，痰壅咽哑水呛。[Pox spot 3-4 days, line before and after plasma, phlegm choked throat hoarse water choking.(Machine translation.)]",《痘疹仁端录》卷十三。功效:清血，和血，收毒。
HVP0500,起死回生丹,丁香9枚，干姜1钱。,,"痘疹。寒气逆上，身凉，痘色灰白塌陷，不食腹胀，呕吐，泄泻清水，肚腹疼痛，手足俱冷。[Acne. Cold, cold body, acne gray collapse, do not eat abdominal distension, vomiting, diarrhea water, abdominal pain, cold hands and feet.(Machine translation.)]",《痘疹仁端录》卷十四。
HVP0501,桃梅丹,梅花5两，桃仁2钱，丝瓜5钱，辰砂2钱，甘草2钱。,,"痘已出，不起不发，隐在皮肤；并麻痒杂证。[Pox has been out, not up, hidden in the skin; Combined with numbness and itching syndrome.(Machine translation.)]",《痘疹仁端录》卷十四。
HVP0502,还神散,人参2钱，麦冬2钱，附子1片，黄耆2钱，甘草1钱。,,痘疹内虚寒，外灰白陷伏者。[Pox rash with deficiency cold inside and gray white outside.(Machine translation.)],《痘疹仁端录》卷十四。
HVP0503,参蚓汤,人参1两，蚯蚓20条。,,"痘疮元虚毒重，黑陷无脓。[Acne yuan deficiency and severe poison, black pit without pus.(Machine translation.)]",《痘疹仁端录》卷十四。
HVP0504,对金饮,陈皮5分，甘草5分，苍术8分。,,吐泻伤食。[Vomiting and diarrhea hurt food.(Machine translation.)],《痘疹会通》卷四。
HVP0505,移星换斗方,麦冬（去心）1两。,,眼中痘疮。[Acne in the eyes.(Machine translation.)],《痘疹会通》卷四。
HVP0506,紫草化斑汤,升麻、紫草、甘草、陈皮、枳壳、黄芩、黄连、木通。,,"热不清，发斑。[Heat is not clear, hair spots.(Machine translation.)]",《痘疹会通》卷四。
HVP0507,连翘人参汤,人参、当归、白术、连翘、荆芥、陈皮、五味子。,,No Data.[无数据],《痘疹会通》卷四。功效:解痘疹里虚。
HVP0508,消暑清心饮,香薷、泽泻、扁豆、黄连、薄荷、猪苓、厚朴、葛根、赤茯苓、甘草。,,中暑惊搐。[Heat stroke convulsions.(Machine translation.)],《痘疹传心录》卷十七。
HVP0509,姜半散,半夏2两（姜制，锉如豆大），生姜（去皮，切，如绿豆大）1两，肉桂（去皮）2钱。,,"惊风，吐不止，将成慢惊者。[If you can't stop vomiting, you will become a slow startler.(Machine translation.)]",《痘疹传心录》卷十七。
HVP0510,三豆浆,黑豆1合，绿豆1合，赤小豆1合。,,"痘毒。痘后痈毒，初起红肿。[Pox poison. Carbuncle poison after pox, red and swollen at the beginning.(Machine translation.)]",《痘疹传心录》卷十九。
HVP0511,清表散毒汤,地骨皮1钱，麦冬1钱5分（去心），花粉1钱（酒炒），牛蒡子8分（炒，研），连翘7分（去心），当归8分，猪苓7分，泽泻7分，黄芩7分（酒炒），甘草3分（生）。,,No Data.[无数据],《痘疹传心录》卷十九。功效:清散痘疮表毒。
HVP0512,六味清凉饮,当归、红花、赤芍药、生地黄、紫草、枳壳。,,"痘疹血热便秘。[Acne, blood fever, constipation.(Machine translation.)]",《痘疹传心录》卷十五。
HVP0513,托里化毒汤,人参、黄耆、茯苓、金银花、甘草、当归、白术、牛蒡子、白芷、连翘、陈皮。,,痘痈成脓。[Acne carbuncle into pus.(Machine translation.)],《痘疹传心录》卷十五。
HVP0514,清胃解毒汤,当归、黄连、生地黄、天花粉、连翘、升麻、牡丹皮、赤芍药。,,"痘后口龈生疮肿痛。[After pox, the mouth and gingiva are sore, swollen and painful.(Machine translation.)]",《痘疹传心录》卷十五。
HVP0515,归茸散,鹿茸1两。,,痘疮血虚不能成浆。[The blood deficiency of acne can not form plasma.(Machine translation.)],《痘疹传心录》卷十五。
HVP0516,加味鼠粘子汤,桔梗、牛蒡子（炒）、射干、防风、甘草（炙）、荆芥、陈皮（去白）、连乔、山豆根。,,"痘疹，喉中有疮作痛闭塞，饮食时哽塞而呕。[Pox rash, sore throat, choking and vomiting when eating.(Machine translation.)]",《痘疹全书》卷上。
HVP0517,四圣解毒汤,紫草、木通、枳壳、黄耆、桂枝、大黄（酒炒）。,,"痘疮发热，及养浆而作痒者；及能饮食而大便坚者。[Acne fever, and raise the plasma and itch; And those who can eat and defecate.(Machine translation.)]",《痘疹全书》卷上。
HVP0518,九味顺气散,白术半钱，白茯苓半钱，青皮半钱，白芷半钱，陈皮半钱，乌药半钱，人参半钱，甘草2分半，木香2分。,,"痘疮四周沸起，中心陷落者。[Acne boiling around, the center of the fall.(Machine translation.)]",《痘疹心法》卷二十三。
HVP0519,荞麦粉,荞麦。,,"痘疹溃烂，脓汁淋漓痛疼者。[Acne ulceration, pus dripping pain.(Machine translation.)]",《痘疹心法》卷二十三。
HVP0520,快斑越婢汤,黄耆（炙）、白芍药、桂枝、防风、甘草（炙）。,,痘疮手足不起发。[Acne does not occur on hands and feet.(Machine translation.)],《痘疹心法》卷二十三。功效:开隧道，活气血，驱毒，发越脾气。
HVP0521,小柴胡加枳桔汤,柴胡1钱，半夏半钱，甘草半钱，人参3钱，黄芩3钱，枳壳1钱，桔梗1钱。,,疮疹后咳嗽胁疼。[Cough and flank pain after the rash.(Machine translation.)],《痘疹心法》卷十九。
HVP0522,混沌如金散,鸡蛋1个。,,"痘痈初起，或溃烂成坑者。[Acne carbuncle at the beginning, or ulceration into pits.(Machine translation.)]",《痘疹活幼至宝》卷末。
HVP0523,安胎独圣散,砂仁（炒）。,,孕妇出痘动胎。[Pregnant women with pox and moving fetus.(Machine translation.)],《痘疹金镜录》卷四。
HVP0524,紫草化毒汤,紫草2两，陈皮1两，升麻5分，甘草5分。,,"痘已出未出，热壅不快。[Pox has not been out, the heat is not fast.(Machine translation.)]",《痘疹金镜录》卷四。
HVP0525,麝香抱龙丸,天竺黄1两，胆南星2两，麝香2钱，辰砂3钱，雄黄3钱。,,"小儿痘疮出不透，不起发，惊搐者。[Children acne out of impervious, not hair, convulsions.(Machine translation.)]",《痘科类编释意》卷三。
HVP0526,参连汤,沙参2分，黄连5分。,,"发热疑似之际，发惊搐者。[When fever is suspected, convulsion occurs.(Machine translation.)]",《痘科辨要》。
HVP0527,解毒防风汤,金银花5钱，甘草1钱，木通1钱，防风1钱，荆芥1钱，连翘1钱，牛蒡子1钱。,,"痘痂落后，热毒未尽，而疮瘢复起成凸者。[Pox scab backward, heat poison is not done, and the scar recovery into convex.(Machine translation.)]",《痘麻绀珠》卷十七。
HVP0528,真珠牛黄丸,珍珠8分，硼砂4分，辰砂6分，人中白8分，青黛4分，冰片1分，儿茶4分，琥珀8分，牛黄2分。,,咽喉臭烂不收口。[The throat stinks.(Machine translation.)],《痧喉汇言》。
HVP0529,独活红花汤,独活1钱，红花1钱，桃仁（去皮尖）1钱，蒲黄1钱，玄明粉1钱，白蒺藜（炒，为末）1钱，乌药1钱，香附3分，枳壳7分。,,痧胀因于血郁。[Sha distension is due to blood stagnation.(Machine translation.)],《痧胀玉衡》卷下。
HVP0530,沉香郁金散,沉香1钱，木香1钱，郁金1钱，乌药3钱，降香2钱，细辛5钱。,,痧气寒凝；腹痛。[Sha Qi cold coagulation; Abdominal pain.(Machine translation.)],《痧胀玉衡》卷下。
HVP0531,蒲黄饮,牛膝3钱，独活1钱，枳壳1钱，连翘1钱，桃仁（去皮尖）1钱，泽兰1钱，赤芍1钱，山楂1钱，姜黄1钱，蒲黄1钱。,,痧毒。[Sha toxin.(Machine translation.)],《痧证汇要》卷四。功效:散瘀，引火下行。
HVP0532,乌沉散,乌药1两，香附3两（焙干），甘草1两（炒）。,,"瘴疟，心腹刺痛。[Malaria, heartache.(Machine translation.)]",《瘴疟指南》卷下。功效:调中快气。
HVP0533,朱雀丸,茯神2两（去皮），沉香半两。,,"心肾不交，心悸怔忡，健忘，火不下降，时有振跳。[Heart kidney disharmony, palpitation, forgetfulness, fire does not drop, sometimes vibration.(Machine translation.)]",《百一》卷一引苏韬光方。功效:消阴火，全心气，养心安神。
HVP0534,木鳖子膏,木鳖子1两（去皮，锉如小豆大，用清油2两，浸1-2宿，然后慢火熬及一半，取出木鳖子，下黄蜡1钱，相搅匀，等蜡化为度，绢滤去滓），乳香1钱（别研细，等木鳖子油与蜡相次欲凝，急投在油内，不住手搅匀）。,,"经络受风寒邪气，筋脉牵连皮肤疼痛，结聚成核，拘挛麻痹。[The channels and collaterals are affected by wind and cold, and the tendons and veins are involved in skin pain, nucleation and paralysis.(Machine translation.)]",《百一》卷二十引张才卿方。
HVP0535,二贤汤,橘红4两，炙甘草1两。,,痰。[Phlegm.(Machine translation.)],《百一》卷五。
HVP0536,下痰丸,橘红4两，白术1两半，半夏1两（姜制），天南星2两（炮）。,,No Data.[无数据],《百一》卷五引李镛方。功效:下痰。
HVP0537,加诃子四柱散,人参（去芦）1两，白茯苓（去皮）1两，附子（炮，去皮脐）1两，木香（纸包煨过），诃子半两（湿纸包炮，取皮用）。,,"脏腑虚怯，本气衰弱，脾胃不快，不进饮食，时加泄利，昼夜不息。[Viscera deficiency, Qi weakness, spleen and stomach is not fast, not into the diet, when plus Xie Li, day and night.(Machine translation.)]",《百一》卷六。
HVP0538,地黄五味丸,生地黄2两，熟地黄2两，五味子2两。,,妄行吐血。[He vomited blood in vain.(Machine translation.)],《百一》卷六。名见《普济方》卷一九○。
HVP0539,温胃散,丁香1两，半夏（白矾水浸，炒黄）半两，人参半两，甘草半两，干姜半两，肉豆蔻半两，白术半两。,,"小儿涎多，留在两口角，此由脾胃有冷，流出渍于颐下，乃名滞颐。[Children saliva, stay in two corners, this from the spleen and stomach have cold, outflow stains in Yi, is the name Zhi Yi.(Machine translation.)]",《百一》卷十九引张涣方。
HVP0540,百粒丸,川黄连1两，厚朴1两，吴茱萸1两（用生姜1两擦碎，同淹1宿，炒令香熟）。,,泻痢。[Diarrhea.(Machine translation.)],《百一》卷十九引钱季华方。
HVP0541,拱辰丹,鹿茸（酥炙，去皮毛用）4两，山茱萸（新好有肉红润者）4两，当归（洗去土）4两，麝香半两（别研）。,,"方壮年而真气犹怯，乃禀气素弱，非虚衰而然。[When Fang Zhuang was young, his true Qi was still timid, but his natural Qi was weak, not weak.(Machine translation.)]",《百一》卷十八引孙琳方。
HVP0542,神仙灵宝膏,瓜蒌5个（取子，细研），乳香5块（如枣子大，细研）。,,"发背，诸恶疮。[Hair back, all sores.(Machine translation.)]",《百一》卷十六。
HVP0543,枳实三百丸,枳实半两，槐花（生用）半两，皂角刺1两半（生用，半烧存性）。,,"肠风久而下脓血，日数十度者。[Intestinal wind for a long time and pus blood, day dozens of degrees.(Machine translation.)]",《百一》卷十四。
HVP0544,砂雄丸,朱砂1钱，雄黄1钱，白茯苓3两。,,崩下如牛膜，昏迷倒地，乃受惊而然。[He fell down like a cow's membrane and fell to the ground in a coma.(Machine translation.)],《盘珠集》卷下。
HVP0545,神仙回脓散,蒲公英、天花粉、金银花、连翘、白芷、甘草。,,乳痈。[Mastitis.(Machine translation.)],《胎产指南》卷八。
HVP0546,宁肺饮,天冬、知母、紫苏、桔梗、炙甘草。,,风寒客肺之咳嗽。[Cough of wind cold guest lung.(Machine translation.)],《盘珠集》卷下。
HVP0547,橘杏麻仁丸,橘皮（炙）3两，杏仁（去皮尖）3两，麻子仁（去壳）3两，郁李仁（去壳）5钱。,,"噎膈，大便燥结。[Choking diaphragm, stool dry knot.(Machine translation.)]",《直指》卷七。
HVP0548,楮实散,楮实子（研细）。,,"肝热生翳；及气翳细点，小儿翳眼。[The liver heat causes the formation of Yi; And Qi Yi fine point, children Yi eye.(Machine translation.)]",《直指》卷二十。
HVP0549,盐术散,苍术4两（日换米泔，浸7日，刮去皮，细切，入青盐1两，同炒黄，去盐不用），木贼（去节，童尿浸1宿，晒）2两。,,目内外障。[Internal and external ocular barrier.(Machine translation.)],《直指》卷二十。
HVP0550,雌雄散,斑猫1雌1雄（足翅全者，新瓦焙焦，去头翅足），贯众2钱，鹤虱5分，甘草5分。,,瘰疬。[scrofula.(Machine translation.)],《直指》卷二十三。
HVP0551,解热方,车前子。,,洞泄，五疸。[There are five kinds of jaundice.(Machine translation.)],《直指》卷十六。
HVP0552,黄耆托里散,黄耆1两，白茯苓1两，甘草（生）2钱半，乳香（别研）1钱半。,,No Data.[无数据],《直指》卷二十二。功效:托里止痛。
HVP0553,贯众酒,贯众。,,寸白诸虫。[Cunbai insects.(Machine translation.)],《直指》卷二十五。
HVP0554,薏苡汤,薏苡仁2合，黑豆100粒，乌梅1个。,,肺痈唾吐脓血。[Lung carbuncle spits pus blood.(Machine translation.)],《直指》卷二十六。
HVP0555,生熟饮,厚朴2寸（1寸生，1寸炙），甘草2寸（1寸生，1寸炙），草果2枚（1枚生，1枚炮熟），生姜2两（1两生，1两煨）。,,疟疾。[Malaria.(Machine translation.)],《魏氏家藏方》卷一。
HVP0556,煨枣方,斑蝥（去头足翅）1个。,,小肠气痛，不可忍。[I can't bear the pain of small intestine.(Machine translation.)],《直指》卷十八。
HVP0557,海浮石散,海浮石。,,"肾气热证，小便秘涩黄色。[Kidney qi heat syndrome, urine secret astringent yellow.(Machine translation.)]",《直指》卷十八。
HVP0558,琥珀饮,琥珀。,,尿血。[Blood in the urine.(Machine translation.)],《直指》卷十六。
HVP0559,猪乳散,琥珀1钱，防风1钱，朱砂半钱。,,"小儿胎惊。月内夜啼，惊惕抽掣。[Infantile fetal convulsion. On the night of the month, I cry.(Machine translation.)]",《直指小儿》卷一。
HVP0560,生气散,丁香3字，白术2钱，青皮2钱，甘草1钱（微炙），木香1钱，人参1钱。,,"脾胃气虚，吐泻，肚腹膨胀，饮食不化，腹痛不止。[Qi deficiency of spleen and stomach, vomiting and diarrhea, abdominal swelling, diet, abdominal pain.(Machine translation.)]",《直指小儿》卷一。功效:调气。
HVP0561,星苏散,天南星（略炮，锉散）。,,"小儿诸风，口噤不语。[Children's wind, mouth silence.(Machine translation.)]",《直指小儿》卷二。
HVP0562,南星醒神散,天南星（不去皮，切片）、生姜（切片）。,,小儿惊风痰热。[Infantile convulsion and phlegm heat.(Machine translation.)],《直指小儿》卷二。
HVP0563,半夏橘皮汤,半夏（炮如法）1两，陈皮（汤浸洗去瓤）1两，甘草（炙）1两，人参1两，茯苓1两，黄芩（去其腐心）1两，葛根半两，厚朴（去皮）1分。,,"伤寒杂病，呕哕，风眩，痰逆咳喘，头痛，并风热反胃吐食诸证。[Febrile diseases, vomiting, wind vertigo, phlegm, cough and asthma, headache, wind heat, nausea and vomiting.(Machine translation.)]",《直格》卷下。
HVP0564,治睛散,当归、白术、白芍、赤芍、羌活、菊花、栀子、密蒙花。,,"因肝肾二经受风热毒攻，以致生横开翳内障，瞳仁渐渐生一重青白色翳膜，似币厚，托在黄仁金井内。[Because the liver and kidney were attacked by the wind and heat, the internal barrier of the Yi was opened, and a bluish white Yi membrane was gradually formed in the pupil, which looked like a thick coin and was placed in the well of Huang Ren Jin.(Machine translation.)]",《眼科全书》卷三。
HVP0565,补胆汤,黄芩、黄耆、天麻、玄参、地骨皮、泽泻、知母、薄荷、麦冬、充蔚子。,,瞳人干缺外障。[The pupil is absent of external barrier.(Machine translation.)],《眼科全书》卷五。
HVP0566,济肝散,羌活、细辛、菊花、蒺藜。,,眼泪常出。[Tears often come out.(Machine translation.)],《眼科全书》卷六。
HVP0567,退热饮,五味子、黄连、黄芩、车前子、栀子、石膏、连翘、龙胆草、玄参、防风、黄柏、地骨皮、茺蔚子。,,"脾胃壅热，睑生风粟，如麻如米，甚如杨梅之状，摩擦瞳仁，黑睛有翳，久久渐昏，流泪不止。[Spleen and stomach heat, eyelid wind millet, such as hemp, such as rice, even like the shape of Myrica rubra, friction pupil, black eyes have Yi, for a long time gradually faint, tears.(Machine translation.)]",《眼科全书》卷四。
